tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-800,Brisbane,Hard,48,500,,20260104,1,220520,,,Mccartney Kessler,R,,USA,26.495,31,1558,215306,,,Emiliana Arango,R,,COL,25.101,49,1161,6-1 6-3,3,R64,82,1,3,59,39,24,12,8,2,4,2,0,70,44,22,9,8,9,15
2026-800,Brisbane,Hard,48,500,,20260104,2,201548,,WC,Ajla Tomljanovic,R,180,AUS,32.663,80,844,221039,,,Elsa Jacquemot,R,,FRA,22.675,55,1076,6-1 6-3,3,R64,75,3,6,45,30,23,8,8,1,2,4,5,50,27,15,7,8,2,7
2026-800,Brisbane,Hard,48,500,,20260104,3,215713,,,Anastasia Potapova,R,175,RUS,24.767,50,1131,214082,,,Daria Kasatkina,R,170,RUS,28.663,37,1334,7-5 4-6 6-4,3,R64,153,7,16,106,68,47,19,16,5,9,5,4,112,64,42,19,16,10,15
2026-800,Brisbane,Hard,48,500,,20260104,4,201514,,,Sorana Cirstea,R,176,ROU,35.746,43,1243,201499,,,Anastasia Pavlyuchenkova,R,177,RUS,34.509,47,1184,6-3 6-1,3,R64,61,9,3,44,30,25,7,8,0,0,3,2,44,26,17,4,8,0,4
2026-800,Brisbane,Hard,48,500,,20260104,5,213550,,,Sofia Kenin,R,170,USA,27.141,28,1589,211817,,Q,Elena Gabriela Ruse,R,,ROU,28.162,88,825,6-4 4-6 6-3,3,R64,137,2,6,96,62,37,17,14,4,8,8,11,92,55,38,15,15,4,10
2026-800,Brisbane,Hard,48,500,,20260104,6,213631,,,Marie Bouzkova,R,180,CZE,27.458,42,1260,211713,,,Jaqueline Cristian,R,180,ROU,27.584,39,1324,6-4 6-3,3,R64,90,8,4,53,37,28,7,9,1,3,2,2,59,39,23,7,10,6,11
2026-800,Brisbane,Hard,48,500,,20260104,7,201533,,Q,Shuai Zhang,R,177,CHN,36.954,81,843,221909,,,Ashlyn Krueger,R,185,USA,21.662,44,1229,6-4 5-7 6-4,3,R64,124,3,3,92,70,51,12,16,5,7,2,15,105,72,52,14,16,5,8
2026-800,Brisbane,Hard,48,500,,20260104,8,214040,,WC,Kimberly Birrell,R,170,AUS,27.686,98,802,211685,,Q,Rebecca Sramkova,R,,SVK,29.211,72,914,6-4 3-6 6-3,3,R64,136,5,5,90,62,42,14,14,5,8,6,5,89,52,37,16,14,4,8
2026-800,Brisbane,Hard,48,500,,20260104,9,216265,,Q,Olivia Gadecki,R,,AUS,23.699,206,350,215983,,,Ann Li,R,170,USA,25.526,38,1334,6-4 6-4,3,R64,99,2,0,75,52,33,11,10,8,10,2,2,64,34,21,13,10,4,8
2026-800,Brisbane,Hard,48,500,,20260104,10,213710,,,Cristina Bucsa,R,,ESP,28.009,51,1127,214388,,Q,Anna Bondar,R,,HUN,28.608,74,900,4-6 7-6(4) 6-2,3,R64,137,3,5,93,68,42,11,15,1,5,1,10,109,55,35,26,15,7,12
2026-800,Brisbane,Hard,48,500,,20260104,11,201709,,LL,Yulia Putintseva,R,163,KAZ,30.993,71,924,221024,,,Hailey Baptiste,R,,USA,24.170,61,1023,6-2 6-4,3,R64,82,3,2,60,48,29,10,9,3,4,0,3,54,36,20,10,9,4,8
2026-800,Brisbane,Hard,48,500,,20260104,12,205925,,Q,Aliaksandra Sasnovich,R,174,BLR,31.790,114,685,215020,,,Anna Blinkova,R,179,RUS,27.319,62,1018,7-5 6-1,3,R64,86,0,6,47,34,23,6,9,2,5,3,0,72,45,20,10,10,6,13
2026-800,Brisbane,Hard,48,500,,20260104,13,214939,,,Anna Kalinskaya,R,175,RUS,27.092,33,1461,238184,,,Tereza Valentova,,,CZE,18.872,60,1035,6-4 6-4,3,R64,98,2,2,81,58,38,9,10,5,8,2,4,53,30,20,7,10,1,6
2026-800,Brisbane,Hard,48,500,,20260104,14,215035,,,Dayana Yastremska,R,175,UKR,25.640,27,1604,221883,,WC,Talia Gibson,R,,AUS,21.547,122,634,7-6(3) 7-6(4),3,R64,116,3,5,86,54,33,16,12,4,9,4,8,80,45,28,14,12,2,7
2026-800,Brisbane,Hard,48,500,,20260104,15,211684,,,Magdalena Frech,R,171,POL,28.055,59,1051,214954,,,Marketa Vondrousova,L,173,CZE,26.522,34,1445,7-5 6-7(3) 7-6(0),3,R64,203,1,10,149,90,61,32,18,17,19,4,11,139,88,68,18,18,13,16
2026-800,Brisbane,Hard,48,500,,20260104,16,263644,,WC,Emerson Jones,R,,AUS,17.495,151,492,213583,,,Tatjana Maria,R,172,GER,38.410,45,1229,6-3 6-3,3,R64,75,3,3,60,37,23,10,9,2,5,2,1,52,28,15,6,9,1,7
2026-800,Brisbane,Hard,48,500,,20260104,17,201619,5,,Madison Keys,R,178,USA,30.881,7,4335,220520,,,Mccartney Kessler,R,,USA,26.495,31,1558,6-4 6-3,3,R32,86,2,2,61,42,30,12,10,5,6,3,1,64,43,25,11,9,5,8
2026-800,Brisbane,Hard,48,500,,20260104,18,223670,12,,Diana Shnaider,L,,RUS,21.758,21,1866,215713,,,Anastasia Potapova,R,175,RUS,24.767,50,1131,6-1 6-3,3,R32,77,4,7,58,40,32,6,8,6,7,5,4,52,28,18,5,8,4,9
2026-800,Brisbane,Hard,48,500,,20260104,19,214544,,,Aryna Sabalenka,R,182,BLR,27.669,1,10870,213710,,,Cristina Bucsa,R,,ESP,28.009,51,1127,6-0 6-1,3,R32,48,4,1,36,28,22,7,7,0,0,0,0,40,25,11,4,6,1,6
