tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2023-2084,United Cup,Hard,18,250,,20221229,1,202499,,,Donna Vekic,R,179,CRO,26.503,67,827,214604,,,Maria Lourdes Carle,R,,ARG,22.883,147,427,6-0 6-4,3,RR,70,0,2,43,27,20,10,8,0,1,0,3,45,26,16,4,8,0,5
2023-2084,United Cup,Hard,18,250,,20221229,2,201427,,,Alize Cornet,R,173,FRA,32.934,36,1328,214604,,,Maria Lourdes Carle,R,,ARG,22.883,147,427,6-2 6-1,3,RR,75,0,2,53,28,17,18,8,0,1,0,6,42,26,11,4,7,3,8
2023-2084,United Cup,Hard,18,250,,20221229,3,206242,,,Beatriz Haddad Maia,L,185,BRA,26.582,15,2215,203354,,,Martina Trevisan,L,160,ITA,29.153,27,1528,6-2 6-0,3,RR,78,2,3,48,30,22,8,7,3,4,0,4,49,35,15,3,7,3,9
2023-2084,United Cup,Hard,18,250,,20221229,4,215042,,,Katie Swan,R,170,GBR,23.768,145,435,211941,,,Zoe Hives,R,,AUS,26.180,772,29,6-4 6-3,3,RR,86,3,4,49,34,23,6,9,2,5,2,8,63,39,19,8,10,2,8
2023-2084,United Cup,Hard,18,250,,20221229,5,201619,,,Madison Keys,R,178,USA,27.864,11,2417,213631,,,Marie Bouzkova,R,180,CZE,24.441,24,1607,6-4 6-3,3,RR,80,1,3,48,31,23,11,10,0,2,1,1,57,40,23,7,9,3,7
2023-2084,United Cup,Hard,18,250,,20221229,6,202505,,,Belinda Bencic,R,175,SUI,25.805,12,2365,201709,,,Yulia Putintseva,R,163,KAZ,27.976,51,995,7-6(0) 6-3,3,RR,114,2,3,76,47,33,15,11,3,5,1,4,65,40,25,10,10,4,7
2023-2084,United Cup,Hard,18,250,,20221229,7,202604,,,Despina Papamichail,R,178,GRE,29.884,158,409,202688,,,Isabella Shinikova,R,184,BUL,31.179,379,131,3-6 6-4 6-1,3,RR,139,2,3,91,61,38,14,13,1,6,1,4,89,50,28,15,13,5,12
2023-2084,United Cup,Hard,18,250,,20221230,8,201614,,,Caroline Garcia,R,177,FRA,29.205,4,4375,206408,,,Nadia Podoroska,R,170,ARG,25.884,196,335,6-2 6-0,3,RR,64,3,1,37,20,18,10,7,0,0,1,3,54,36,17,6,7,6,11
2023-2084,United Cup,Hard,18,250,,20221230,9,214459,,,Lucia Bronzetti,R,,ITA,24.055,54,951,206007,,,Laura Pigossi,R,164,BRA,28.411,118,546,6-0 6-2,3,RR,77,4,2,47,29,20,10,7,1,2,0,1,44,36,12,3,7,1,7
2023-2084,United Cup,Hard,18,250,,20221230,10,211279,,,Harriet Dart,R,175,GBR,26.424,98,635,213666,,,Maddison Inglis,R,171,AUS,24.959,179,363,6-4 6-4,3,RR,92,5,0,54,36,30,10,10,2,3,1,4,61,44,26,9,10,0,3
2023-2084,United Cup,Hard,18,250,,20221230,11,201520,,,Petra Kvitova,L,183,CZE,32.814,16,2097,202468,,,Jessica Pegula,R,170,USA,28.847,3,4691,7-6(6) 6-4,3,RR,119,2,5,74,44,29,18,11,4,6,2,3,91,52,34,19,11,8,11
2023-2084,United Cup,Hard,18,250,,20221230,12,213525,,,Jil Teichmann,L,170,SUI,25.460,35,1336,214992,,,Zhibek Kulambayeva,R,172,KAZ,22.763,464,93,6-3 6-2,3,RR,82,4,6,52,21,18,16,9,0,2,0,4,50,36,18,5,8,5,10
