tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-1049,Auckland,Hard,32,I,,20120102,1,201513,1,,Sabine Lisicki,R,178,GER,22.278,15,2879,200043,,WC,Virginie Razzano,R,173,FRA,28.644,83,811,6-4 6-4,3,R32,,4,7,64,33,25,14,,0,2,0,1,67,39,24,13,,6,10
2012-1049,Auckland,Hard,32,I,,20120102,2,201506,,,Sara Errani,R,164,ITA,24.679,45,1190,201596,,,Johanna Larsson,R,174,SWE,23.376,59,1006,6-1 6-1,3,R32,,1,0,38,29,21,5,,2,3,0,1,45,32,11,5,,5,11
2012-1049,Auckland,Hard,32,I,,20120102,3,201539,,,Christina Mchale,R,170,USA,19.644,43,1226,201567,,,Alexandra Dulgheru,R,172,ROU,22.593,65,935,6-2 6-3,3,R32,,1,0,46,31,25,9,,0,0,0,4,68,48,29,6,,6,10
2012-1049,Auckland,Hard,32,I,,20120102,4,201320,3,,Svetlana Kuznetsova,R,174,RUS,26.517,19,2606,201590,,Q,Alison Riske Amritraj,R,173,USA,21.501,136,486,6-3 6-2,3,R32,,8,3,51,35,28,5,,1,3,0,3,62,39,21,8,,5,10
2012-1049,Auckland,Hard,32,I,,20120102,5,201512,8,,Monica Niculescu,R,168,ROU,24.272,30,1715,201600,,Q,Jamie Hampton,R,173,USA,21.983,144,453,7-6(1) 6-1,3,R32,,1,0,63,41,26,16,,4,6,1,5,55,27,15,13,,2,6
2012-1049,Auckland,Hard,32,I,,20120102,6,201386,,,Jie Zheng,R,164,CHN,28.496,48,1145,201503,,,Ayumi Morita,R,163,JPN,21.813,49,1130,4-6 6-3 6-4,3,R32,,1,2,93,66,34,14,,6,13,1,1,93,63,32,12,,7,16
2012-1049,Auckland,Hard,32,I,,20120102,7,201556,,,Lucie Hradecka,R,177,CZE,26.618,52,1116,201462,,,Alberta Brianti,R,165,ITA,31.743,70,906,6-4 3-6 6-2,3,R32,,10,8,76,31,26,25,,3,4,1,3,132,80,49,28,,14,17
2012-1049,Auckland,Hard,32,I,,20120102,8,201397,2,,Shuai Peng,R,173,CHN,25.983,17,2800,201431,,Q,Aravane Rezai,R,165,FRA,24.805,115,591,4-6 6-3 6-4,3,R32,,7,3,90,55,42,17,,3,6,1,9,80,38,30,19,,5,9
2012-1049,Auckland,Hard,32,I,,20120102,9,201621,,,Mona Barthel,R,185,GER,21.479,69,918,200120,,,Jelena Dokic,R,175,AUS,28.726,66,933,7-6(5) 6-1,3,R32,,5,3,62,29,22,18,,0,2,3,7,96,56,32,16,,11,16
2012-1049,Auckland,Hard,32,I,,20120102,10,201493,,,Angelique Kerber,L,173,GER,23.957,32,1621,201523,,,Marina Erakovic,R,174,NZL,23.825,61,991,4-6 6-4 6-4,3,R32,,3,6,86,47,34,21,,8,12,4,4,93,51,35,19,,4,9
