tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2006-1066,Gold Coast,Hard,32,T3,,20060102,1,200067,1,,Patty Schnyder,L,168,SUI,27.053,7,2774,200043,,,Virginie Razzano,R,173,FRA,22.645,51,660,6-3 7-6(2),3,R32,,,,,,,,,,,,,,,,,,,
2006-1066,Gold Coast,Hard,32,T3,,20060102,2,201446,,,Sybille Bammer,L,174,AUT,25.684,77,434,223079,,,Katerina Bohmova,L,,CZE,19.124,130,259,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2006-1066,Gold Coast,Hard,32,T3,,20060102,3,201419,,,Na Li,R,172,CHN,23.850,56,623,201311,,,Roberta Vinci,R,163,ITA,22.872,41,764,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,
2006-1066,Gold Coast,Hard,32,T3,,20060102,4,201355,4,,Flavia Pennetta,R,172,ITA,23.853,23,1240,201438,,,Ekaterina Bychkova,R,171,RUS,20.578,70,494,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2006-1066,Gold Coast,Hard,32,T3,,20060102,5,201344,7,,Klara Koukalova,R,166,CZE,23.855,35,883,200046,,,Meghann Shaughnessy,R,180,USA,26.725,66,533,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2006-1066,Gold Coast,Hard,32,T3,,20060102,6,200001,,WC,Martina Hingis,R,170,SUI,25.257,,,200024,,,Maria Vento Kabchi,R,168,VEN,31.612,62,546,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2006-1066,Gold Coast,Hard,32,T3,,20060102,7,201291,,,Nuria Llagostera Vives,R,156,ESP,25.632,50,672,201381,,Q,Tian Tian Sun,R,175,CHN,24.225,105,347,2-6 6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2006-1066,Gold Coast,Hard,32,T3,,20060102,8,201212,2,,Francesca Schiavone,R,166,ITA,25.528,13,1699,201460,,Q,Meng Yuan,,,CHN,19.653,153,231,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2006-1066,Gold Coast,Hard,32,T3,,20060102,9,201376,,Q,Angela Haynes,L,173,USA,21.265,131,258,201368,,,Karolina Sprem,R,174,CRO,21.189,65,534,2-6 6-0 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2006-1066,Gold Coast,Hard,32,T3,,20060102,10,201457,,Q,Jarmila Gajdosova,R,174,AUS,18.689,147,243,200060,,,Tathiana Garbin,R,172,ITA,28.510,85,408,5-7 6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
