tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2004-1066,Gold Coast,Hard,30,T3,,20040105,1,200104,,,Emilie Loit,L,167,FRA,24.575,43,750,200009,,,Tamarine Tanasugarn,R,165,THA,26.618,32,957,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,2,201320,,,Svetlana Kuznetsova,R,174,RUS,18.525,35,927,200048,,,Elena Likhovtseva,R,174,RUS,28.326,37,861,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,3,201329,3,,Vera Zvonareva,R,172,RUS,19.327,13,1771,200032,,Q,Barbara Schett,R,176,AUT,27.823,82,428,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,4,200049,5,,Conchita Martinez,R,170,ESP,31.721,16,1316,201381,,Q,Tian Tian Sun,R,175,CHN,22.232,128,254,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,5,201336,,,Dinara Safina,R,185,RUS,17.692,53,657,200770,,Q,Stephanie Cohen Aloro,R,175,FRA,20.803,67,523,3-6 6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,6,200036,,,Nicole Pratt,R,163,AUS,30.837,52,663,200111,,,Lina Krasnoroutskaya,R,174,RUS,19.686,27,1076,6-7(6) 6-1 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,7,200086,,,Magdalena Maleeva,R,168,BUL,28.764,28,1064,200044,,,Denisa Chladkova,R,174,CZE,24.907,41,764,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,8,200035,,,Maria Sanchez Lorenzo,R,171,ESP,26.161,50,695,201212,6,,Francesca Schiavone,R,166,ITA,23.535,20,1247,3-6 6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,9,201325,,WC,Samantha Stosur,R,172,AUS,19.768,163,188,200046,4,,Meghann Shaughnessy,R,180,USA,24.732,17,1311,7-6(3) 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,10,201368,,,Karolina Sprem,R,174,CRO,19.195,58,609,200700,,,Silvia Farina Elia,R,172,ITA,31.691,23,1151,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,11,201317,,Q,Aniko Kapros,R,173,HUN,20.151,90,400,200122,,,Tina Pisnik,R,172,SLO,22.875,29,1036,4-6 6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,12,200027,7,,Magui Serna,L,167,ESP,24.849,21,1196,201348,,WC,Casey Dellacqua,L,165,AUS,18.897,288,80,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2004-1066,Gold Coast,Hard,30,T3,,20040105,13,200067,8,,Patty Schnyder,L,168,SUI,25.060,25,1116,201347,,,Jelena Jankovic,R,177,SRB,18.850,81,435,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,
