tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1994-800,Brisbane,Hard,56,T3,,19940103,1,200608,,,Audra Keller,,,USA,22.131,124,11,200627,,,Petra Schwarz,R,168,AUT,21.613,110,13,7-5 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,2,200026,11,,Florencia Labat,L,170,ARG,22.563,51,29,200709,,,Rossana De Los Rios,R,170,PAR,18.300,118,12,6-2 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,3,200578,,WC,Rennae Stubbs,R,178,AUS,22.777,174,7,200640,,Q,Mercedes Paz,R,180,ARG,27.521,,,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,4,200659,,,Rika Hiraki,R,157,JPN,22.078,134,10,201059,,Q,Misumi Miyauchi,,,JPN,22.328,144,10,6-2 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,5,200602,,,Shaun Stafford,R,180,USA,25.057,74,20,200701,,Q,Caroline Vis,R,180,NED,23.836,198,6,6-2 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,6,200698,,,Petra Begerow,R,178,GER,18.725,109,13,200029,,WC,Lisa Mcshea,R,174,AUS,19.182,307,3,2-6 7-6 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,7,200705,12,,Linda Ferrando,,170,ITA,27.976,52,29,200679,,,Caroline Kuhlman,,,USA,27.360,78,19,4-6 6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,8,200051,13,,Irina Spirlea,R,175,ROU,19.776,61,25,200706,,,Catalina Cristea,R,178,ROU,18.590,127,11,6-4 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,9,200647,,,Noelle Van Lottum,,170,FRA,21.479,101,14,200632,,Q,Andrea Strnadova,,175,CZE,21.602,158,8,5-7 6-2 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,10,200547,,,Sandra Wasserman,R,173,BEL,23.820,112,13,200032,,,Barbara Schett,R,176,AUT,17.818,137,10,3-6 7-5 3-0 RET,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,11,200662,,Q,Joanne Limmer,R,,AUS,19.768,,,200655,,,Nicole Arendt,L,177,USA,24.356,88,16,6-4 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,12,200010,,Q,Rita Grande,R,177,ITA,18.785,186,7,200593,,,Karine Quentrec,,,FRA,24.203,95,15,7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,13,200560,,,Rene Simpson,L,165,CAN,27.970,122,12,200563,,Q,Jane Taylor,,,AUS,21.156,,,7-5 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,14,200016,,,Sandrine Testud,R,176,FRA,21.753,100,14,200048,15,,Elena Likhovtseva,R,174,RUS,18.322,67,22,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,15,200595,9,,Ann Grossman,,,USA,23.226,35,41,200692,,,Marzia Grossi,,,ITA,23.338,98,14,6-4 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,16,200530,,,Radomira Zrubakova,R,169,SVK,23.023,94,15,200439,,Q,Jenny Byrne,,,AUS,26.856,149,9,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,17,200724,,LL,Lea Ghirardi,R,173,FRA,19.896,142,10,200059,,,Ruxandra Dragomir Ilie,R,168,ROU,21.194,75,20,6-4 2-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,18,200681,,,Natalia Baudone,,,ITA,21.479,97,14,200037,10,,Sabine Appelmans,L,168,BEL,21.701,36,40,7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,19,200559,,,Kristine Kunce,R,177,AUS,23.839,96,15,200584,16,,Laura Golarsa,R,165,ITA,26.103,69,21,4-6 6-3 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,20,200658,,,Fang Li,R,166,CHN,21.005,132,10,200626,,,Emanuela Zardo,L,,SUI,23.697,73,21,7-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,21,200105,,,Rachel Mcquillan,,170,AUS,22.089,115,12,200036,,WC,Nicole Pratt,R,163,AUS,20.833,172,8,6-1 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,22,200700,,,Silvia Farina Elia,R,172,ITA,21.687,85,17,200689,,,Tessa Price,,,RSA,26.779,155,8,6-2 4-6 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,23,200498,,,Michelle Jaggard Lai,R,146,AUS,24.663,91,15,201878,,,Junko Watanabe,,,JPN,21.208,,,6-4 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,24,200013,14,,Angelica Gavaldon,R,,MEX,20.252,64,23,200579,,,Karin Kschwendt,R,175,AUT,25.304,81,19,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,25,200086,1,,Magdalena Maleeva,R,168,BUL,18.760,16,84,200608,,,Audra Keller,,,USA,22.131,124,11,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,26,200681,,,Natalia Baudone,,,ITA,21.479,97,14,200010,,Q,Rita Grande,R,177,ITA,18.785,186,7,6-4 5-7 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,27,200658,,,Fang Li,R,166,CHN,21.005,132,10,200559,,,Kristine Kunce,R,177,AUS,23.839,96,15,6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,28,200105,,,Rachel Mcquillan,,170,AUS,22.089,115,12,200112,5,,Julie Halard Decugis,R,173,FRA,23.316,29,48,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,29,200651,4,,Sabine Hack,,170,GER,24.480,24,58,200700,,,Silvia Farina Elia,R,172,ITA,21.687,85,17,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,30,200498,,,Michelle Jaggard Lai,R,146,AUS,24.663,91,15,200013,14,,Angelica Gavaldon,R,,MEX,20.252,64,23,6-2 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,31,200026,11,,Florencia Labat,L,170,ARG,22.563,51,29,200578,,WC,Rennae Stubbs,R,178,AUS,22.777,174,7,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,32,200659,,,Rika Hiraki,R,157,JPN,22.078,134,10,200638,7,,Stephanie Rottier,,,NED,19.948,32,43,1-6 6-4 0-1 RET,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,33,200684,6,,Shi Ting Wang,R,171,TPE,20.208,30,45,200602,,,Shaun Stafford,R,180,USA,25.057,74,20,7-5 5-7 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,34,200705,12,,Linda Ferrando,,170,ITA,27.976,52,29,200698,,,Petra Begerow,R,178,GER,18.725,109,13,4-6 6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,35,200051,13,,Irina Spirlea,R,175,ROU,19.776,61,25,200647,,,Noelle Van Lottum,,170,FRA,21.479,101,14,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,36,200612,3,,Natalia Medvedeva,R,176,UKR,22.136,23,58,200547,,,Sandra Wasserman,R,173,BEL,23.820,112,13,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,37,200094,8,,Barbara Rittner,R,173,GER,20.693,34,43,200662,,Q,Joanne Limmer,R,,AUS,19.768,,,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,38,200560,,,Rene Simpson,L,165,CAN,27.970,122,12,200016,,,Sandrine Testud,R,176,FRA,21.753,100,14,3-6 6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,39,200595,9,,Ann Grossman,,,USA,23.226,35,41,200530,,,Radomira Zrubakova,R,169,SVK,23.023,94,15,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1994-800,Brisbane,Hard,56,T3,,19940103,40,200128,2,,Lindsay Davenport,R,189,USA,17.572,20,63,200724,,LL,Lea Ghirardi,R,173,FRA,19.896,142,10,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,
