tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2018-1049,Auckland,Hard,32,I,,20180101,1,201504,2,,Julia Goerges,R,180,GER,29.164,14,2655,201620,,,Monica Puig,R,170,PUR,24.263,57,1025,6-4 4-6 6-2,3,R32,132,13,6,110,64,41,24,14,7,11,1,0,81,55,27,17,14,4,10
2018-1049,Auckland,Hard,32,I,,20180101,2,214149,,Q,Viktoria Hruncakova,R,,SVK,19.644,138,435,213674,,WC,Jade Lewis,R,170,NZL,19.039,1051,7,6-4 6-3,3,R32,70,9,5,58,31,24,15,9,5,6,4,0,55,36,26,6,10,3,7
2018-1049,Auckland,Hard,32,I,,20180101,3,201555,,,Polona Hercog,R,182,SLO,26.949,100,653,202421,,,Alison Van Uytvanck,R,173,BEL,23.771,77,797,6-4 7-5,3,R32,95,7,4,69,46,36,12,11,5,6,6,2,71,55,34,8,11,5,8
2018-1049,Auckland,Hard,32,I,,20180101,4,201465,,,Kirsten Flipkens,R,165,BEL,31.976,76,808,202499,8,,Donna Vekic,R,179,CRO,21.512,54,1045,7-6(5) 3-6 6-4,3,R32,154,2,4,99,63,43,13,16,5,11,3,7,108,64,43,18,15,8,13
2018-1049,Auckland,Hard,32,I,,20180101,5,201366,3,,Barbora Strycova,R,164,CZE,31.765,23,2025,201506,,WC,Sara Errani,R,164,ITA,30.678,132,454,6-4 6-7(3) 6-4,3,R32,180,7,8,117,67,46,20,16,9,14,0,1,105,93,54,5,16,8,15
2018-1049,Auckland,Hard,32,I,,20180101,6,201596,,,Johanna Larsson,R,174,SWE,29.375,82,761,201597,,,Kurumi Nara,R,155,JPN,26.007,101,644,7-6(5) 6-3,3,R32,94,5,3,64,42,28,8,11,1,5,1,2,69,49,24,10,10,5,10
2018-1049,Auckland,Hard,32,I,,20180101,7,201444,,,Su Wei Hsieh,R,169,TPE,31.992,103,625,211702,,,Nao Hibino,R,163,JPN,23.094,97,693,6-0 6-3,3,R32,68,0,2,60,38,24,13,8,6,7,0,2,49,33,18,3,7,5,10
2018-1049,Auckland,Hard,32,I,,20180101,8,204434,,Q,Ysaline Bonaventure,L,178,BEL,23.343,183,312,201709,6,,Yulia Putintseva,R,163,KAZ,22.985,50,1085,6-3 6-3,3,R32,74,1,3,62,41,30,11,9,4,5,3,0,52,35,20,8,9,5,9
2018-1049,Auckland,Hard,32,I,,20180101,9,203500,,Q,Sachia Vickery,R,162,USA,22.645,122,510,201616,5,,Lauren Davis,R,157,USA,24.230,48,1093,6-1 6-2,3,R32,63,1,0,57,35,22,13,8,4,5,0,1,37,21,12,3,7,3,8
2018-1049,Auckland,Hard,32,I,,20180101,10,202705,,,Veronica Cepede Royg,R,163,PAR,25.947,78,787,202418,,,Lara Arruabarrena,R,166,ESP,25.786,86,750,6-3 6-3,3,R32,83,1,0,56,35,18,12,9,3,7,2,3,58,29,14,9,9,4,11
2018-1049,Auckland,Hard,32,I,,20180101,11,203501,,,Taylor Townsend,L,170,USA,21.712,95,700,201539,,,Christina Mchale,R,170,USA,25.643,64,950,1-6 6-4 6-4,3,R32,116,6,3,85,55,36,16,14,8,12,2,3,82,56,40,12,13,5,8
2018-1049,Auckland,Hard,32,I,,20180101,12,201474,4,,Agnieszka Radwanska,R,170,POL,28.825,28,1715,206242,,,Beatriz Haddad Maia,L,185,BRA,21.591,71,865,6-2 4-6 6-2,3,R32,113,4,0,76,54,37,10,13,4,7,2,4,74,44,26,13,13,3,9
2018-1049,Auckland,Hard,32,I,,20180101,13,201478,,,Varvara Lepchenko,L,180,USA,31.617,63,960,201621,7,,Mona Barthel,R,185,GER,27.478,52,1068,6-2 6-2,3,R32,71,2,1,53,35,24,14,8,5,5,1,4,58,34,18,12,8,4,8
2018-1049,Auckland,Hard,32,I,,20180101,14,213550,,WC,Sofia Kenin,R,170,USA,19.132,108,591,213544,,Q,Jana Fett,R,168,CRO,21.164,102,635,6-4 6-4,3,R32,86,0,0,55,41,33,8,10,3,4,6,4,56,26,20,14,10,3,6
2018-1049,Auckland,Hard,32,I,,20180101,15,201549,,,Petra Martic,R,181,CRO,26.952,90,732,214954,,,Marketa Vondrousova,L,173,CZE,18.514,67,936,7-6(2) 6-3,3,R32,85,5,2,64,43,32,13,11,1,2,2,2,68,39,25,16,10,6,8
2018-1049,Auckland,Hard,32,I,,20180101,16,201496,1,,Caroline Wozniacki,R,177,DEN,27.478,3,6015,201483,,,Madison Brengle,R,168,USA,27.749,85,753,6-3 6-0,3,R32,58,4,2,49,28,24,12,8,4,4,0,0,35,22,7,8,7,1,5
