tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1990-800,Brisbane,Hard,56,T4,,19900101,1,200569,,,Petra Langrova,,,TCH,19.516,78,16,200480,,,Claudia Porwik,,,GER,21.131,75,16,7-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,2,200605,12,,Regina Rajchrtova,,,TCH,21.906,40,28,200628,,,Sabrina Goles,,,YUG,24.581,105,11,3-6 6-4 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,3,200615,,,Kristin Godridge,,,HKG,16.898,341,1,201877,,,Karen Shin,,,USA,21.493,185,4,7-5 2-6 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,4,201802,,,Ulrike Priller,,,AUT,16.986,221,2,200221,,,Dianne Fromholtz,L,165,AUS,33.394,131,8,1-6 7-5 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,5,200610,,,Stacey Martin,,,USA,19.135,81,14,200591,,,Ronni Reis,,,USA,23.647,98,12,1-6 6-2 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,6,200362,,,Liz Smylie,R,170,AUS,26.727,66,18,200544,,,Celine Cohen,,,SUI,22.829,133,8,6-3 2-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,7,200105,,,Rachel Mcquillan,,170,AUS,18.084,79,15,200442,13,,Andrea Temesvari,R,182,HUN,23.686,43,27,6-1 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,8,200496,15,,Terry Phelps,,,USA,23.039,48,25,200464,,,Ann Henricksson,,,USA,30.172,53,21,6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,9,200444,,,Elise Burgin,L,,USA,27.828,62,18,200606,,,Nana Smith,R,163,JPN,18.730,103,11,6-0 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,10,200617,,,Kimiko Date Krumm,R,163,JPN,19.261,119,9,200586,,,Federica Bonsignori,,,ITA,22.117,143,7,6-4 2-6 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,11,200574,,,Eva Sviglerova,,,CZE,18.473,137,7,200595,,,Ann Grossman,,,USA,19.220,54,20,7-5 0-6 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,12,200578,,,Rennae Stubbs,R,178,AUS,18.771,223,2,200384,,,Eva Pfaff,R,175,GER,28.890,104,11,4-6 7-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,13,200599,,,Carrie Cunningham,,,USA,17.679,85,14,200625,,,Jana Pospisilova,,,CZE,19.779,71,17,6-0 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,14,200482,10,,Judith Wiesner,R,,AUT,23.836,35,30,200469,,,Nicole Bradtke,R,176,AUS,20.277,61,18,7-6 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,15,200485,11,,Manon Bollegraf,R,173,NED,25.728,38,28,200421,,,Pascale Paradis Mangon,R,,FRA,23.691,120,9,5-7 7-6 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,16,200498,,,Michelle Jaggard Lai,R,146,AUS,20.658,127,8,200395,,,Catherine Tanvier,R,174,FRA,24.597,65,18,7-5 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,17,200576,,,Nathalie Herreman,L,,FRA,23.765,134,7,200501,,,Marianne Werdel Witmeyer,,,USA,22.210,95,12,6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,18,200621,14,,Isabelle Demongeot,R,,FRA,23.289,46,25,200441,,,Louise Field,,,AUS,22.851,100,12,6-4 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,19,200424,,,Etsuko Inoue,R,164,JPN,25.205,68,17,200346,9,,Anne Minter,R,165,AUS,26.749,34,32,4-6 6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,20,200494,,,Dianne Van Rensburg,R,,RSA,21.829,86,14,200495,,,Akiko Kijimuta,,,JPN,21.671,55,20,6-3 3-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,21,200522,,,Nicole Jagerman,R,179,NED,22.445,82,14,200593,,,Karine Quentrec,,,FRA,20.198,64,18,6-2 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,22,200554,,,Brenda Schultz Mccarthy,R,188,NED,19.012,83,14,200476,,,Cammy Macgregor,,168,USA,21.224,96,12,7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,23,200622,,,Maya Kidowaki,,,JPN,20.627,138,7,200489,,,Yukie Koizumi,,,JPN,31.938,179,4,6-2 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,24,200419,16,,Kathy Rinaldi Stunkel,,,USA,22.777,52,22,200616,,,Pascale Etchemendy,,,FRA,23.573,136,7,6-4 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,25,200377,1,,Helena Sukova,R,188,CZE,24.855,8,87,200569,,,Petra Langrova,,,TCH,19.516,78,16,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,26,200621,14,,Isabelle Demongeot,R,,FRA,23.289,46,25,200578,,,Rennae Stubbs,R,178,AUS,18.771,223,2,7-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,27,200424,,,Etsuko Inoue,R,164,JPN,25.205,68,17,200494,,,Dianne Van Rensburg,R,,RSA,21.829,86,14,7-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1990-800,Brisbane,Hard,56,T4,,19900101,28,200116,6,,Natalia Zvereva,R,174,BLR,18.714,27,38,200522,,,Nicole Jagerman,R,179,NED,22.445,82,14,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
