tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2010-800,Brisbane,Hard,32,I,,20100104,1,200079,1,,Kim Clijsters,R,175,BEL,26.577,18,2340,200060,,,Tathiana Garbin,R,172,ITA,32.515,59,1095,6-2 6-1,3,R32,,2,5,53,34,24,10,,5,6,2,0,50,26,12,7,,6,11
2010-800,Brisbane,Hard,32,I,,20100104,2,201311,,,Roberta Vinci,R,163,ITA,26.878,63,1036,201506,,,Sara Errani,R,164,ITA,22.686,47,1370,6-4 2-6 6-2,3,R32,,5,2,98,65,42,13,,10,14,0,3,85,58,37,10,,10,15
2010-800,Brisbane,Hard,32,I,,20100104,3,201490,,,Timea Bacsinszky,R,170,SUI,20.575,53,1223,201485,,Q,Alla Kudryavtseva,R,178,RUS,22.172,89,700,6-4 7-6(3),3,R32,,6,1,76,47,28,18,,5,8,0,2,69,52,31,8,,3,7
2010-800,Brisbane,Hard,32,I,,20100104,4,201421,3,,Ana Ivanovic,R,184,SRB,22.163,21,2067,200120,,,Jelena Dokic,R,175,AUS,26.733,56,1123,7-5 1-6 6-3,3,R32,,5,6,86,57,35,11,,7,13,1,11,81,39,24,22,,5,11
2010-800,Brisbane,Hard,32,I,,20100104,5,201349,7,,Melinda Czink,L,178,HUN,27.204,37,1547,201556,,,Lucie Hradecka,R,177,CZE,24.625,64,976,6-4 3-6 6-3,3,R32,,2,10,99,55,36,21,,6,9,4,8,87,40,29,22,,7,11
2010-800,Brisbane,Hard,32,I,,20100104,6,201366,,,Barbora Strycova,R,164,CZE,23.773,66,932,201501,,,Olga Govortsova,R,182,BLR,21.367,50,1235,6-4 6-1,3,R32,,0,2,48,30,21,8,,2,4,0,6,57,34,16,10,,4,10
2010-800,Brisbane,Hard,32,I,,20100104,7,201402,,Q,Sesil Karatantcheva,R,171,KAZ,20.408,132,462,201348,,WC,Casey Dellacqua,L,165,AUS,24.896,1002,7,6-2 0-6 7-6(1),3,R32,,0,5,88,60,34,12,,5,11,1,2,81,45,29,15,,2,7
2010-800,Brisbane,Hard,32,I,,20100104,8,200003,,WC,Justine Henin,R,167,BEL,27.595,,,200069,2,,Nadia Petrova,R,178,RUS,27.576,20,2220,7-5 7-5,3,R32,,6,3,64,30,27,22,,1,2,7,1,75,52,32,13,,6,9
2010-800,Brisbane,Hard,32,I,,20100104,9,200008,,WC,Alicia Molik,R,182,AUS,28.937,198,276,201505,,,Kate Makarova,L,178,RUS,21.577,60,1094,6-4 1-6 6-4,3,R32,,4,5,97,55,37,21,,9,11,4,4,96,57,38,21,,10,12
2010-800,Brisbane,Hard,32,I,,20100104,10,201425,,,Lucie Safarova,L,177,CZE,22.916,41,1480,201394,,,Anna Lena Groenefeld,R,180,GER,24.586,65,946,6-7(5) 6-4 6-1,3,R32,,4,6,105,73,54,13,,4,6,7,11,95,49,31,22,,3,8
