tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-1049,Auckland,Hard,32,I,,20160104,1,201648,,Q,Naomi Broady,R,189,GBR,25.849,122,500,201421,2,,Ana Ivanovic,R,184,SRB,28.162,16,2645,7-5 6-4,3,R32,82,14,0,63,43,32,10,11,3,5,6,8,83,46,32,13,11,6,10
2016-1049,Auckland,Hard,32,I,,20160104,2,211533,,WC,Jelena Ostapenko,R,177,LAT,18.574,84,749,201596,,,Johanna Larsson,R,174,SWE,27.382,56,981,6-1 7-5,3,R32,72,5,7,70,33,25,18,10,5,7,1,7,53,30,17,9,9,6,11
2016-1049,Auckland,Hard,32,I,,20160104,3,202489,,,Carina Witthoeft,R,176,GER,20.882,64,913,213583,,,Tatjana Maria,R,172,GER,28.409,74,824,6-2 7-6(3),3,R32,91,4,5,79,47,30,18,10,6,8,8,2,65,34,23,12,10,3,7
2016-1049,Auckland,Hard,32,I,,20160104,4,201585,5,,Sloane Stephens,R,170,USA,22.793,30,1715,201555,,,Polona Hercog,R,182,SLO,24.956,73,835,6-3 6-3,3,R32,71,0,3,55,35,22,11,9,3,6,0,2,49,29,15,4,9,3,9
2016-1049,Auckland,Hard,32,I,,20160104,5,201496,3,,Caroline Wozniacki,R,177,DEN,25.484,17,2641,203575,,,Danka Kovinic,R,169,MNE,21.128,57,978,6-4 6-4,3,R32,85,3,0,62,42,25,9,10,1,5,3,3,64,32,19,11,10,1,7
2016-1049,Auckland,Hard,32,I,,20160104,6,201539,,,Christina Mchale,R,170,USA,23.650,63,915,201595,,,Misaki Doi,L,159,JPN,24.685,54,1000,6-2 6-4,3,R32,66,6,3,53,33,25,10,9,1,3,0,4,52,28,16,9,9,1,6
2016-1049,Auckland,Hard,32,I,,20160104,7,201523,,WC,Marina Erakovic,R,174,NZL,27.831,135,413,201709,,,Yulia Putintseva,R,163,KAZ,20.992,77,793,7-6(2) 7-6(3),3,R32,119,4,4,69,49,35,12,12,0,3,1,2,84,57,35,12,12,7,10
2016-1049,Auckland,Hard,32,I,,20160104,8,201567,,,Alexandra Dulgheru,R,172,ROU,26.599,69,879,202421,8,,Alison Van Uytvanck,R,173,BEL,21.777,44,1149,1-6 6-2 6-4,3,R32,101,1,9,72,45,32,14,12,0,3,3,3,74,49,33,12,13,3,7
2016-1049,Auckland,Hard,32,I,,20160104,9,201604,,,Irina Falconi,R,163,USA,25.671,76,797,201535,6,,Coco Vandeweghe,R,185,USA,24.080,37,1247,5-7 6-4 6-3,3,R32,154,5,4,123,69,46,25,16,16,20,9,9,97,44,30,26,15,5,10
2016-1049,Auckland,Hard,32,I,,20160104,10,201465,,Q,Kirsten Flipkens,R,165,BEL,29.983,85,725,201318,,,Bethanie Mattek Sands,R,168,USA,30.785,60,922,3-6 6-4 6-3,3,R32,114,1,3,116,79,51,16,14,11,14,1,3,85,51,30,21,14,5,9
