tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-1049,Auckland,Hard,32,I,,20170102,1,200748,2,,Venus Williams,R,185,USA,36.546,17,2240,213674,,WC,Jade Lewis,R,170,NZL,18.043,1099,6,7-6(2) 6-2,3,R32,88,4,8,80,52,32,11,10,8,12,0,1,72,51,25,6,10,3,9
2017-1049,Auckland,Hard,32,I,,20170102,2,211768,,,Naomi Osaka,R,180,JPN,19.215,48,1161,202470,,,Annika Beck,R,170,GER,22.878,51,1125,6-2 6-4,3,R32,94,6,3,45,22,18,13,9,2,4,0,2,67,48,27,6,9,7,12
2017-1049,Auckland,Hard,32,I,,20170102,3,201518,,,Yanina Wickmayer,R,182,BEL,27.204,58,984,201596,,,Johanna Larsson,R,174,SWE,28.378,50,1150,6-1 6-2,3,R32,60,6,1,46,31,27,6,8,2,2,0,3,50,31,15,8,7,7,11
2017-1049,Auckland,Hard,32,I,,20170102,4,211951,8,,Ana Konjuh,R,174,CRO,19.018,47,1189,201465,,,Kirsten Flipkens,R,165,BEL,30.979,64,923,6-4 3-6 6-3,3,R32,124,10,6,105,57,41,25,14,6,8,2,3,87,47,33,22,14,4,7
2017-1049,Auckland,Hard,32,I,,20170102,5,201496,3,,Caroline Wozniacki,R,177,DEN,26.481,19,2185,202484,,,Nicole Gibbs,R,168,USA,23.836,88,742,6-1 6-0,3,R32,50,1,0,36,25,22,7,7,0,0,0,4,38,21,10,5,6,3,8
2017-1049,Auckland,Hard,32,I,,20170102,6,201478,,,Varvara Lepchenko,L,180,USA,30.621,89,723,201613,,Q,Arina Rodionova,R,168,AUS,27.051,187,290,6-3 6-4,3,R32,71,3,1,54,35,27,15,10,0,0,1,0,46,37,25,6,9,2,4
2017-1049,Auckland,Hard,32,I,,20170102,7,201648,,,Naomi Broady,R,189,GBR,26.845,90,720,203575,,,Danka Kovinic,R,169,MNE,22.125,70,885,7-6(5) 6-3,3,R32,108,5,4,72,37,28,15,10,4,7,4,2,97,64,40,11,11,12,17
2017-1049,Auckland,Hard,32,I,,20170102,8,201504,,,Julia Goerges,R,180,GER,28.168,53,1110,201499,6,,Anastasia Pavlyuchenkova,R,177,RUS,25.504,27,1620,6-3 6-4,3,R32,86,8,2,70,48,37,11,10,6,6,2,1,66,40,25,15,9,8,10
2017-1049,Auckland,Hard,32,I,,20170102,9,201616,,,Lauren Davis,R,157,USA,23.234,61,960,202428,5,,Kiki Bertens,R,182,NED,25.066,22,1977,7-6(3) 6-4,3,R32,150,1,2,74,44,28,17,11,1,4,6,5,74,46,28,14,11,2,6
2017-1049,Auckland,Hard,32,I,,20170102,10,201597,,,Kurumi Nara,R,155,JPN,25.011,76,797,204430,,WC,Antonia Lottner,R,185,GER,20.389,180,313,6-2 6-2,3,R32,64,2,1,53,37,24,7,8,4,6,1,2,40,28,10,5,8,3,9
2017-1049,Auckland,Hard,32,I,,20170102,11,201425,,,Lucie Safarova,L,177,CZE,29.912,62,940,202653,,,Denisa Allertova,R,180,CZE,23.825,91,718,6-1 6-2,3,R32,63,8,3,41,23,18,9,7,0,1,3,9,57,30,15,7,8,5,11
2017-1049,Auckland,Hard,32,I,,20170102,12,201366,4,,Barbora Strycova,R,164,CZE,30.769,20,2170,211700,,Q,Barbora Stefkova,R,,CZE,21.750,171,332,6-4 6-3,3,R32,96,1,2,65,44,26,9,9,4,7,0,6,73,48,26,9,10,3,9
2017-1049,Auckland,Hard,32,I,,20170102,13,211533,7,,Jelena Ostapenko,R,177,LAT,19.571,44,1225,201523,,WC,Marina Erakovic,R,174,NZL,28.827,105,611,6-1 6-2,3,R32,69,5,4,48,31,23,7,7,0,1,4,4,63,36,20,7,8,7,13
2017-1049,Auckland,Hard,32,I,,20170102,14,200002,,,Mirjana Lucic,R,181,CRO,34.821,79,781,201621,,Q,Mona Barthel,R,185,GER,26.481,157,354,6-3 3-6 6-3,3,R32,110,3,9,106,63,44,22,14,10,12,6,6,90,57,37,17,13,12,15
2017-1049,Auckland,Hard,32,I,,20170102,15,201483,,,Madison Brengle,R,168,USA,26.752,72,870,211222,,Q,Jamie Loeb,R,168,USA,21.824,188,287,6-4 7-6(5),3,R32,94,1,0,76,61,36,6,11,3,6,1,3,75,41,27,13,11,0,4
2017-1049,Auckland,Hard,32,I,,20170102,16,200033,1,,Serena Williams,R,175,USA,35.270,2,7050,201426,,,Pauline Parmentier,R,175,FRA,30.922,69,886,6-3 6-4,3,R32,75,8,4,63,30,24,17,10,8,10,2,2,49,29,17,10,9,1,5
2017-1049,Auckland,Hard,32,I,,20170102,17,211768,,,Naomi Osaka,R,180,JPN,19.215,48,1161,200748,2,,Venus Williams,R,185,USA,36.546,17,2240,W/O,3,R16,,,,,,,,,,,,,,,,,,,
2017-1049,Auckland,Hard,32,I,,20170102,18,211951,8,,Ana Konjuh,R,174,CRO,19.018,47,1189,201518,,,Yanina Wickmayer,R,182,BEL,27.204,58,984,6-1 6-2,3,R16,57,8,0,44,22,15,18,7,2,2,1,2,48,32,17,6,8,4,9
2017-1049,Auckland,Hard,32,I,,20170102,19,201496,3,,Caroline Wozniacki,R,177,DEN,26.481,19,2185,201478,,,Varvara Lepchenko,L,180,USA,30.621,89,723,6-3 6-3,3,R16,77,0,1,46,32,19,8,9,0,3,0,3,60,40,21,5,9,4,10
