tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2024-2084,United Cup,Hard,18,250,,20231229,1,211107,,,Katie Boulter,R,180,GBR,27.409,57,1075,201548,,,Ajla Tomljanovic,R,180,AUS,30.645,292,246,6-2 6-4,3,RR,93,8,4,64,34,27,16,9,6,6,5,2,52,31,20,11,9,0,3
2024-2084,United Cup,Hard,18,250,,20231229,2,206242,,,Beatriz Haddad Maia,L,185,BRA,27.582,11,2940,204427,,,Sara Sorribes Tormo,R,176,ESP,27.223,53,1126,7-6(1) 6-2,3,RR,126,0,2,70,44,27,13,10,3,6,0,7,59,38,23,7,10,0,5
2024-2084,United Cup,Hard,18,250,,20231230,3,201551,,,Arantxa Rus,L,180,NED,33.047,51,1149,214935,,,Malene Helgo,,,NOR,24.345,544,89,7-6(4) 6-1,3,RR,104,5,3,65,38,30,16,10,1,2,1,5,58,36,26,8,9,1,4
2024-2084,United Cup,Hard,18,250,,20231230,4,221012,,,Qinwen Zheng,R,,CHN,21.227,14,2770,214954,,,Marketa Vondrousova,L,173,CZE,24.507,7,4046,6-1 2-6 6-1,3,RR,108,2,4,64,29,22,17,11,1,4,1,6,69,43,20,11,11,6,12
2024-2084,United Cup,Hard,18,250,,20231230,5,211148,,,Jasmine Paolini,R,160,ITA,27.987,29,1530,201493,,,Angelique Kerber,L,173,GER,35.949,,,6-4 7-5,3,RR,108,3,0,72,48,27,12,11,6,10,0,2,95,75,39,8,11,15,21
2024-2084,United Cup,Hard,18,250,,20231230,6,216347,,,Iga Swiatek,R,176,POL,22.582,1,9505,206242,,,Beatriz Haddad Maia,L,185,BRA,27.584,11,2940,6-2 6-2,3,RR,77,0,0,49,37,25,8,8,3,4,2,1,46,33,14,5,8,3,8
2024-2084,United Cup,Hard,18,250,,20231231,7,221012,,,Qinwen Zheng,R,,CHN,21.230,14,2770,215337,,,Olga Danilovic,L,,SRB,22.935,121,627,6-4 6-2,3,RR,97,8,1,60,34,24,15,9,2,3,2,2,56,37,21,8,9,2,6
2024-2084,United Cup,Hard,18,250,,20231231,8,211107,,,Katie Boulter,R,180,GBR,27.415,57,1075,202468,,,Jessica Pegula,R,170,USA,29.849,5,6180,5-7 6-4 6-4,3,RR,164,1,6,119,79,46,15,16,4,11,2,3,100,58,38,11,16,4,12
2024-2084,United Cup,Hard,18,250,,20231231,9,220367,,,Leylah Fernandez,L,168,CAN,21.317,34,1385,206037,,,Daniela Seguel,,171,CHI,31.125,671,57,6-2 6-3,3,RR,73,0,1,42,33,22,6,9,0,2,0,1,50,42,19,3,8,0,5
2024-1049,Auckland,Hard,32,250,,20240101,1,202494,2,,Elina Svitolina,R,174,UKR,29.304,25,1809,201496,,WC,Caroline Wozniacki,R,177,DEN,33.476,256,301,6-4 6-3,3,R32,104,5,1,75,44,25,17,10,6,9,1,3,66,36,20,13,9,5,10
2024-1049,Auckland,Hard,32,250,,20240101,2,221054,,WC,Emma Raducanu,R,175,GBR,21.134,301,231,211817,,Q,Elena Gabriela Ruse,R,,ROU,26.152,134,575,6-3 4-6 7-5,3,R32,147,3,6,93,61,39,15,16,1,6,2,2,95,63,37,15,15,7,13
2024-1049,Auckland,Hard,32,250,,20240101,3,216153,,WC,Amanda Anisimova,R,180,USA,22.336,373,169,201499,,,Anastasia Pavlyuchenkova,R,177,RUS,32.499,60,1045,7-5 6-4,3,R32,115,6,4,94,58,35,13,11,8,13,1,2,74,41,22,11,11,7,14
2024-1049,Auckland,Hard,32,250,,20240101,4,213631,5,,Marie Bouzkova,R,180,CZE,25.449,36,1353,211684,,,Magdalena Frech,R,171,POL,26.046,70,937,6-0 3-6 6-4,3,R32,134,1,3,66,43,30,11,12,1,4,0,2,100,58,33,18,13,10,16
2024-1049,Auckland,Hard,32,250,,20240101,5,201615,3,,Lesia Tsurenko,R,174,UKR,34.591,32,1451,203500,,Q,Sachia Vickery,R,162,USA,28.644,143,537,7-5 6-4,3,R32,88,0,4,71,49,33,12,11,7,9,1,3,66,38,26,10,11,5,9
2024-1049,Auckland,Hard,32,250,,20240101,6,220348,,,Diane Parry,R,170,FRA,21.334,76,904,211765,,,Emina Bektas,R,,USA,30.758,91,820,6-7(4) 7-5 6-3,3,R32,165,13,7,111,54,45,30,17,3,4,10,2,109,73,48,21,16,3,6
