tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1992-800,Brisbane,Hard,56,T4,,19911230,1,201059,,Q,Misumi Miyauchi,,,JPN,20.315,139,8,200659,,,Rika Hiraki,R,157,JPN,20.066,105,11,7-5 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,2,200086,10,,Magdalena Maleeva,R,168,BUL,16.748,38,25,200642,,,Denisa Szabova,,,SVK,23.113,,,6-0 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,3,200615,,,Kristin Godridge,,,HKG,18.892,92,13,200666,,,Marion Maruska,R,172,AUT,19.039,113,11,4-6 6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,4,200648,,,Marketa Kochta,R,168,GER,16.463,81,15,200080,,,Dominique Monami,R,170,BEL,18.582,129,9,6-1 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,5,200089,,Q,Miriam Oremans,R,169,NED,19.305,149,7,200645,,,Maja Zivec Skulj,,,GER,18.262,146,8,6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,6,200676,,,Mana Endo,R,160,JPN,20.896,118,10,200610,,Q,Stacey Martin,,,USA,21.128,165,6,6-1 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,7,200360,9,,Pam Shriver,R,183,USA,29.490,37,25,200495,,,Akiko Kijimuta,,,JPN,23.664,66,18,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,8,200669,13,,Debbie Graham,R,183,USA,21.347,42,23,200579,,,Karin Kschwendt,R,175,AUT,23.291,88,13,6-4 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,9,200629,,,Cristina Tessi,,,ARG,19.445,98,12,200395,,,Catherine Tanvier,R,174,FRA,26.591,104,12,6-2 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,10,200671,,Q,Meike Babel,R,173,GER,17.104,134,8,200621,,,Isabelle Demongeot,R,,FRA,25.282,63,18,6-4 5-7 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,11,200004,,,Kerry Anne Guse,R,159,AUS,19.070,300,2,200522,,,Nicole Jagerman,R,179,NED,24.439,67,18,7-5 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,12,200480,,,Claudia Porwik,,,GER,23.124,80,15,200542,,,Clare Wood,R,,GBR,23.812,130,9,7-5 3-6 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,13,200016,,,Sandrine Testud,R,176,FRA,19.740,109,11,200647,,,Noelle Van Lottum,,170,FRA,19.467,147,8,5-3 RET,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,14,200623,,,Petra Thoren,,,FIN,22.393,96,13,200450,15,,Larisa Savchenko,,169,URS,25.443,48,22,6-1 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,15,200605,11,,Regina Rajchrtova,,,TCH,23.899,39,24,200439,,,Jenny Byrne,,,AUS,24.844,137,8,3-6 6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,16,200354,,,Claudia Kohde Kilsch,R,187,GER,28.053,85,14,200622,,,Maya Kidowaki,,,JPN,22.621,73,16,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,17,200036,,,Nicole Pratt,R,163,AUS,18.820,201,5,200627,,,Petra Schwarz,R,168,AUT,19.601,78,16,6-2 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,18,200442,,LL,Andrea Temesvari,R,182,HUN,25.679,159,7,200346,16,,Anne Minter,R,165,AUS,28.743,61,19,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,19,200469,14,,Nicole Bradtke,R,176,AUS,22.270,45,23,200643,,,Petra Kamstra,,,NED,17.785,128,9,6-1 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,20,200660,,,Kimberly Po Messerli,R,157,USA,20.195,103,12,200576,,,Nathalie Herreman,L,,FRA,25.758,121,10,6-1 3-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,21,200668,,,Silke Frankl,,,GER,21.588,119,10,200639,,Q,Claudine Toleafoa,,,NZL,21.835,224,4,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,22,200519,,LL,Sybille Niox Chateau,,,FRA,22.196,133,8,200662,,Q,Joanne Limmer,R,,AUS,17.755,290,2,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,23,200560,,,Rene Simpson,L,165,CAN,25.958,132,9,200021,,,Alexia Dechaume Balleret,R,,FRA,21.660,72,16,7-5 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,24,200095,12,,Linda Wild,R,,USA,20.882,41,23,200384,,Q,Eva Pfaff,R,175,GER,30.884,203,5,6-1 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,25,200539,1,,Jana Novotna,R,175,CZE,23.242,7,108,201059,,Q,Misumi Miyauchi,,,JPN,20.315,139,8,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,26,200442,,LL,Andrea Temesvari,R,182,HUN,25.679,159,7,200480,,,Claudia Porwik,,,GER,23.124,80,15,W/O,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,27,200469,14,,Nicole Bradtke,R,176,AUS,22.270,45,23,200660,,,Kimberly Po Messerli,R,157,USA,20.195,103,12,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,28,200668,,,Silke Frankl,,,GER,21.588,119,10,200632,7,,Andrea Strnadova,,175,CZE,19.590,34,27,7-5 4-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,29,200530,4,,Radomira Zrubakova,R,169,SVK,21.011,23,39,200519,,LL,Sybille Niox Chateau,,,FRA,22.196,133,8,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,30,200560,,,Rene Simpson,L,165,CAN,25.958,132,9,200095,12,,Linda Wild,R,,USA,20.882,41,23,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,31,200086,10,,Magdalena Maleeva,R,168,BUL,16.748,38,25,200615,,,Kristin Godridge,,,HKG,18.892,92,13,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,32,200604,5,,Barbara Paulus,R,177,AUT,21.328,25,38,200648,,,Marketa Kochta,R,168,GER,16.463,81,15,6-3 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,33,200089,,Q,Miriam Oremans,R,169,NED,19.305,149,7,200626,6,,Emanuela Zardo,L,,SUI,21.684,31,29,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,34,200676,,,Mana Endo,R,160,JPN,20.896,118,10,200360,9,,Pam Shriver,R,183,USA,29.490,37,25,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,35,200669,13,,Debbie Graham,R,183,USA,21.347,42,23,200629,,,Cristina Tessi,,,ARG,19.445,98,12,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,36,200037,3,,Sabine Appelmans,L,168,BEL,19.688,18,50,200671,,Q,Meike Babel,R,173,GER,17.104,134,8,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,37,200105,8,,Rachel Mcquillan,,170,AUS,20.077,36,26,200004,,,Kerry Anne Guse,R,159,AUS,19.070,300,2,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,38,200623,,,Petra Thoren,,,FIN,22.393,96,13,200016,,,Sandrine Testud,R,176,FRA,19.740,109,11,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,39,200354,,,Claudia Kohde Kilsch,R,187,GER,28.053,85,14,200605,11,,Regina Rajchrtova,,,TCH,23.899,39,24,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,40,200036,,,Nicole Pratt,R,163,AUS,18.820,201,5,200663,,LL,Nanne Dahlman,,163,FIN,21.312,161,6,7-5 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,41,200442,,LL,Andrea Temesvari,R,182,HUN,25.679,159,7,200539,1,,Jana Novotna,R,175,CZE,23.242,7,108,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,42,200469,14,,Nicole Bradtke,R,176,AUS,22.270,45,23,200668,,,Silke Frankl,,,GER,21.588,119,10,6-3 6-2,3,R16,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,43,200530,4,,Radomira Zrubakova,R,169,SVK,21.011,23,39,200560,,,Rene Simpson,L,165,CAN,25.958,132,9,6-4 6-1,3,R16,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,44,200086,10,,Magdalena Maleeva,R,168,BUL,16.748,38,25,200604,5,,Barbara Paulus,R,177,AUT,21.328,25,38,6-3 7-5,3,R16,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,45,200676,,,Mana Endo,R,160,JPN,20.896,118,10,200089,,Q,Miriam Oremans,R,169,NED,19.305,149,7,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,46,200669,13,,Debbie Graham,R,183,USA,21.347,42,23,200037,3,,Sabine Appelmans,L,168,BEL,19.688,18,50,6-2 6-2,3,R16,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,47,200105,8,,Rachel Mcquillan,,170,AUS,20.077,36,26,200623,,,Petra Thoren,,,FIN,22.393,96,13,6-3 3-6 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,48,200354,,,Claudia Kohde Kilsch,R,187,GER,28.053,85,14,200036,,,Nicole Pratt,R,163,AUS,18.820,201,5,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1992-800,Brisbane,Hard,56,T4,,19911230,49,200469,14,,Nicole Bradtke,R,176,AUS,22.270,45,23,200442,,LL,Andrea Temesvari,R,182,HUN,25.679,159,7,6-3 6-0,3,QF,,,,,,,,,,,,,,,,,,,
