tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2014-1063,Shenzhen,Hard,32,I,,20131230,1,201419,1,,Na Li,R,172,CHN,31.842,3,6045,201329,1,WC,Vera Zvonareva,R,172,RUS,29.312,,,7-5 6-3,3,R32,,3,7,83,56,37,14,,6,8,3,5,63,40,26,8,,4,8
2014-1063,Shenzhen,Hard,32,I,,20131230,2,201562,,,Silvia Soler Espinosa,R,169,ESP,26.114,82,773,201615,,,Lesia Tsurenko,R,174,UKR,24.586,68,872,6-4 7-6(4),3,R32,,2,3,80,45,30,18,,3,6,2,4,76,44,27,16,,3,7
2014-1063,Shenzhen,Hard,32,I,,20131230,3,202450,,,Jana Cepelova,R,168,SVK,20.589,76,801,202622,,Q,Lyudmyla Kichenok,R,175,UKR,21.446,198,319,4-6 6-3 6-1,3,R32,,1,0,82,57,39,12,,7,10,1,7,92,52,31,15,,9,15
2014-1063,Shenzhen,Hard,32,I,,20131230,4,204431,,Q,Anna Lena Friedsam,R,,GER,19.910,122,526,201587,,,Bojana Jovanovski,R,175,SRB,21.999,36,1485,6-1 7-5,3,R32,,3,2,63,38,22,13,,6,9,0,5,63,44,21,5,,3,9
2014-1063,Shenzhen,Hard,32,I,,20131230,5,201386,7,,Jie Zheng,R,164,CHN,30.489,53,1103,201424,7,,Shahar Peer,R,170,ISR,26.667,77,801,6-0 6-3,3,R32,,0,3,84,61,32,14,,14,16,0,6,70,44,23,6,,8,15
2014-1063,Shenzhen,Hard,32,I,,20131230,6,201366,,,Barbora Strycova,R,164,CZE,27.760,94,704,201501,,,Olga Govortsova,R,182,BLR,25.353,93,710,7-5 6-3,3,R32,,5,1,74,48,31,13,,3,5,1,3,66,37,21,14,,6,11
2014-1063,Shenzhen,Hard,32,I,,20131230,7,201447,,,Vania King,R,165,USA,24.827,85,751,201549,,,Petra Martic,R,181,CRO,22.946,107,608,7-5 4-6 6-3,3,R32,,0,1,103,70,42,21,,6,10,5,7,107,64,42,18,,6,11
2014-1063,Shenzhen,Hard,32,I,,20131230,8,201506,,,Sara Errani,R,164,ITA,26.673,7,4435,202453,,WC,Saisai Zheng,R,170,CHN,19.899,145,435,6-0 3-6 7-6(3),3,R32,,0,1,88,69,42,12,,6,10,0,2,98,63,37,14,,8,14
2014-1063,Shenzhen,Hard,32,I,,20131230,9,203297,,,Nadiya Kichenok,R,172,UKR,21.446,101,643,201693,,,Timea Babos,R,179,HUN,20.641,88,735,6-0 2-0 RET,3,R32,,2,0,23,15,13,6,,0,0,0,7,31,13,7,3,,4,8
2014-1063,Shenzhen,Hard,32,I,,20131230,10,201512,,,Monica Niculescu,R,168,ROU,26.265,59,1035,203533,,,Anna Karolina Schmiedlova,R,176,SVK,19.297,83,764,4-6 6-2 6-3,3,R32,,3,7,84,51,35,9,,6,11,0,4,92,57,28,15,,6,14
2014-1063,Shenzhen,Hard,32,I,,20131230,11,201442,,,Yung Jan Chan,R,170,TPE,24.370,257,229,201533,,,Shuai Zhang,R,177,CHN,24.940,52,1113,3-6 6-4 6-2,3,R32,,0,4,77,55,31,10,,6,12,1,3,104,67,34,14,,5,13
2014-1063,Shenzhen,Hard,32,I,,20131230,12,201344,3,,Klara Koukalova,R,166,CZE,31.847,35,1535,202499,3,,Donna Vekic,R,179,CRO,17.506,96,696,6-3 7-5,3,R32,,3,8,86,42,29,20,,3,8,3,3,88,43,27,12,,5,13
2014-1063,Shenzhen,Hard,32,I,,20131230,13,201537,,,Patricia Mayr Achleitner,R,169,AUT,27.144,92,714,203552,,Q,Risa Ozaki,R,163,JPN,19.724,193,326,6-2 6-1,3,R32,,0,2,51,33,21,7,,7,10,0,2,40,24,6,4,,3,10
2014-1063,Shenzhen,Hard,32,I,,20131230,14,203530,,Q,Viktorija Golubic,R,169,SUI,21.205,196,321,201486,,,Aleksandra Wozniak,R,175,CAN,26.314,288,183,4-6 6-0 6-2,3,R32,,0,3,80,47,30,15,,3,7,0,9,65,38,19,9,,5,13
2014-1063,Shenzhen,Hard,32,I,,20131230,15,202470,,,Annika Beck,R,170,GER,19.869,58,1046,201548,,,Ajla Tomljanovic,R,180,AUS,20.649,73,830,6-3 6-4,3,R32,,0,6,57,42,28,6,,1,4,4,6,59,31,15,11,,4,10
2014-1063,Shenzhen,Hard,32,I,,20131230,16,201397,5,,Shuai Peng,R,173,CHN,27.976,42,1228,203578,5,WC,Fangzhou Liu,R,180,CHN,18.051,314,158,6-1 6-3,3,R32,,1,0,52,34,24,13,,3,3,1,5,53,23,14,10,,2,6
2014-1063,Shenzhen,Hard,32,I,,20131230,17,201419,1,,Na Li,R,172,CHN,31.842,3,6045,203297,,,Nadiya Kichenok,R,172,UKR,21.446,101,643,6-1 6-4,3,R16,,3,6,56,32,24,11,,3,4,2,6,68,42,24,8,,5,10
2014-1063,Shenzhen,Hard,32,I,,20131230,18,201512,,,Monica Niculescu,R,168,ROU,26.265,59,1035,201442,,,Yung Jan Chan,R,170,TPE,24.370,257,229,2-6 6-3 6-0,3,R16,,1,3,73,49,31,9,,5,9,0,3,72,50,24,8,,5,12
2014-1063,Shenzhen,Hard,32,I,,20131230,19,201537,,,Patricia Mayr Achleitner,R,169,AUT,27.144,92,714,201344,3,,Klara Koukalova,R,166,CZE,31.847,35,1535,7-6(2) 6-4,3,R16,,,,,,,,,,,,,,,,,,,
2014-1063,Shenzhen,Hard,32,I,,20131230,20,202470,,,Annika Beck,R,170,GER,19.869,58,1046,203530,,Q,Viktorija Golubic,R,169,SUI,21.205,196,321,6-3 5-7 6-3,3,R16,,0,3,101,76,41,7,,9,18,0,5,90,61,28,6,,5,16
