tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2019-1049,Auckland,Hard,32,I,,20181231,1,201504,2,,Julia Goerges,R,180,GER,30.161,14,3055,201596,,,Johanna Larsson,R,174,SWE,30.372,75,778,6-0 6-4,3,R32,57,7,1,37,21,20,8,8,0,1,1,5,52,34,19,5,8,4,9
2019-1049,Auckland,Hard,32,I,,20181231,2,201621,,,Mona Barthel,R,185,GER,28.474,77,764,201562,,Q,Silvia Soler Espinosa,R,169,ESP,31.116,190,308,6-2 7-6(1),3,R32,85,9,2,57,33,28,15,10,3,4,0,2,72,47,31,9,10,4,7
2019-1049,Auckland,Hard,32,I,,20181231,3,202446,,,Eugenie Bouchard,R,178,CAN,24.847,87,692,201483,,,Madison Brengle,R,168,USA,28.745,88,676,6-3 6-3,3,R32,71,3,1,59,40,23,10,9,4,7,0,5,57,42,22,2,9,4,10
2019-1049,Auckland,Hard,32,I,,20181231,4,202457,,Q,Bibiane Schoofs,R,170,NED,30.634,174,329,202421,8,,Alison Van Uytvanck,R,173,BEL,24.767,49,1055,3-4 RET,3,R32,36,0,3,26,15,7,5,3,4,6,0,0,21,18,8,2,4,0,2
2019-1049,Auckland,Hard,32,I,,20181231,5,213550,,,Sofia Kenin,R,170,USA,20.129,52,1024,201549,4,,Petra Martic,R,181,CRO,27.949,32,1465,7-5 2-6 6-2,3,R32,124,6,0,90,59,39,16,14,7,11,11,5,85,47,28,20,14,5,10
2019-1049,Auckland,Hard,32,I,,20181231,6,214149,,,Viktoria Hruncakova,R,,SVK,20.641,50,1052,214461,,,Tamara Zidansek,R,168,SLO,21.013,79,752,6-2 7-6(3),3,R32,85,9,1,59,35,30,17,10,2,2,1,3,75,52,33,12,10,3,5
2019-1049,Auckland,Hard,32,I,,20181231,7,216153,,WC,Amanda Anisimova,R,180,USA,17.334,96,635,202450,,Q,Jana Cepelova,R,168,SVK,25.591,188,310,6-2 3-0 RET,3,R32,39,4,1,35,25,18,7,6,2,2,0,2,33,16,13,1,5,1,4
2019-1049,Auckland,Hard,32,I,,20181231,8,201366,5,,Barbora Strycova,R,164,CZE,32.762,33,1460,203501,,,Taylor Townsend,L,170,USA,22.708,90,673,6-2 6-7(5) 6-3,3,R32,139,3,2,95,66,52,15,15,6,7,6,3,94,54,35,23,14,10,14
2019-1049,Auckland,Hard,32,I,,20181231,9,201465,7,,Kirsten Flipkens,R,165,BEL,32.973,47,1058,203500,,,Sachia Vickery,R,162,USA,23.642,101,610,6-2 6-2,3,R32,63,5,0,52,43,32,4,8,1,1,2,4,49,26,17,8,8,5,9
2019-1049,Auckland,Hard,32,I,,20181231,10,204427,,,Sara Sorribes Tormo,R,176,ESP,22.229,86,700,201527,,,Stefanie Voegele,R,170,SUI,28.811,83,727,7-5 6-3,3,R32,107,1,3,76,52,29,14,11,3,6,3,2,64,39,24,9,10,5,10
2019-1049,Auckland,Hard,32,I,,20181231,11,201620,,,Monica Puig,R,170,PUR,25.260,53,1010,201318,,WC,Bethanie Mattek Sands,R,168,USA,33.775,350,109,6-3 6-2,3,R32,74,3,0,45,27,20,12,8,2,3,1,0,52,31,18,8,9,3,8
2019-1049,Auckland,Hard,32,I,,20181231,12,201444,3,,Su Wei Hsieh,R,169,TPE,32.989,28,1640,201555,,,Polona Hercog,R,182,SLO,27.946,85,715,6-2 6-3,3,R32,63,0,2,56,42,26,11,9,3,4,0,5,44,24,15,8,8,4,8
2019-1049,Auckland,Hard,32,I,,20181231,13,200748,6,,Venus Williams,R,185,USA,38.539,39,1206,201458,,,Victoria Azarenka,R,180,BLR,29.419,51,1051,6-3 1-6 6-3,3,R32,131,2,0,85,48,28,18,13,6,11,9,7,94,53,40,11,12,14,19
2019-1049,Auckland,Hard,32,I,,20181231,14,201616,,WC,Lauren Davis,R,157,USA,25.227,173,340,202418,,,Lara Arruabarrena,R,166,ESP,26.782,82,731,6-2 6-2,3,R32,82,2,1,46,25,19,15,8,1,1,0,4,53,32,19,8,8,4,8
2019-1049,Auckland,Hard,32,I,,20181231,15,215370,,Q,Bianca Andreescu,R,170,CAN,18.541,152,382,201693,,,Timea Babos,R,179,HUN,25.643,59,945,6-4 7-6(6),3,R32,106,7,2,66,41,31,15,11,2,4,3,2,88,61,39,12,11,6,9
2019-1049,Auckland,Hard,32,I,,20181231,16,201496,1,,Caroline Wozniacki,R,177,DEN,28.474,3,5586,201696,,LL,Laura Siegemund,R,168,GER,30.826,113,517,6-3 6-2,3,R32,81,0,2,58,32,24,14,9,3,4,2,4,50,27,16,9,8,5,9
2019-1049,Auckland,Hard,32,I,,20181231,17,201504,2,,Julia Goerges,R,180,GER,30.161,14,3055,201621,,,Mona Barthel,R,185,GER,28.474,77,764,6-4 6-4,3,R16,83,3,3,60,27,16,23,10,5,7,3,5,60,33,25,7,10,4,8
2019-1049,Auckland,Hard,32,I,,20181231,18,202446,,,Eugenie Bouchard,R,178,CAN,24.847,87,692,202457,,Q,Bibiane Schoofs,R,170,NED,30.634,174,329,6-7(5) 6-4 6-4,3,R16,156,3,8,119,71,43,19,16,9,16,2,5,106,73,34,18,16,4,13
2019-1049,Auckland,Hard,32,I,,20181231,19,214149,,,Viktoria Hruncakova,R,,SVK,20.641,50,1052,213550,,,Sofia Kenin,R,170,USA,20.129,52,1024,7-5 5-7 6-3,3,R16,137,20,7,107,67,51,18,17,3,7,3,4,102,71,47,14,16,8,13
2019-1049,Auckland,Hard,32,I,,20181231,20,216153,,WC,Amanda Anisimova,R,180,USA,17.334,96,635,201366,5,,Barbora Strycova,R,164,CZE,32.762,33,1460,6-3 6-3,3,R16,82,1,2,64,49,32,10,9,5,5,1,1,57,40,25,8,9,2,5
2019-1049,Auckland,Hard,32,I,,20181231,21,204427,,,Sara Sorribes Tormo,R,176,ESP,22.229,86,700,201465,7,,Kirsten Flipkens,R,165,BEL,32.973,47,1058,6-4 1-6 6-1,3,R16,122,1,4,77,58,37,8,12,5,9,1,2,78,45,28,15,12,5,10
2019-1049,Auckland,Hard,32,I,,20181231,22,201444,3,,Su Wei Hsieh,R,169,TPE,32.989,28,1640,201620,,,Monica Puig,R,170,PUR,25.260,53,1010,6-1 7-6(3),3,R16,84,3,1,73,50,34,13,10,5,7,0,2,54,43,25,5,9,5,9
2019-1049,Auckland,Hard,32,I,,20181231,23,200748,6,,Venus Williams,R,185,USA,38.539,39,1206,201616,,WC,Lauren Davis,R,157,USA,25.227,173,340,6-4 6-3,3,R16,94,2,2,58,38,29,11,10,1,2,2,4,64,44,27,10,9,5,8
2019-1049,Auckland,Hard,32,I,,20181231,24,215370,,Q,Bianca Andreescu,R,170,CAN,18.541,152,382,201496,1,,Caroline Wozniacki,R,177,DEN,28.474,3,5586,6-4 6-4,3,R16,132,1,3,91,60,37,16,10,10,12,1,1,63,41,24,11,10,4,8
2019-1049,Auckland,Hard,32,I,,20181231,25,201504,2,,Julia Goerges,R,180,GER,30.161,14,3055,202446,,,Eugenie Bouchard,R,178,CAN,24.847,87,692,3-6 6-3 7-6(6),3,QF,148,7,3,112,63,44,28,15,6,8,1,3,100,64,48,17,15,7,9
2019-1049,Auckland,Hard,32,I,,20181231,26,214149,,,Viktoria Hruncakova,R,,SVK,20.641,50,1052,216153,,WC,Amanda Anisimova,R,180,USA,17.334,96,635,6-3 2-6 6-4,3,QF,119,3,6,86,51,34,12,13,2,7,2,5,99,58,34,16,14,4,10
