tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1991-800,Brisbane,Hard,56,T4,,19901231,1,200648,,,Marketa Kochta,R,168,GER,15.466,174,5,200645,,,Maja Zivec Skulj,,,GER,17.265,231,2,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,2,200105,9,,Rachel Mcquillan,,170,AUS,19.080,39,26,201274,,,Viktoria Milvidskaia,,,RUS,23.699,178,4,6-0 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,3,200567,,,Jennifer Santrock,L,,USA,21.843,153,6,200611,,,Tracey Morton Rodgers,,,AUS,23.037,221,3,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,4,200581,,,Tamaka Takagi,,,JPN,25.003,134,8,200576,,,Nathalie Herreman,L,,FRA,24.762,62,18,4-6 7-5 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,5,200569,,,Petra Langrova,,,TCH,20.512,80,14,200538,,,Akemi Nishiya,R,,JPN,25.808,197,3,2-6 6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,6,200095,,,Linda Wild,R,,USA,19.885,86,13,200416,,,Robin White,R,164,USA,27.059,59,18,6-0 2-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,7,200469,14,,Nicole Bradtke,R,176,AUS,21.274,49,21,200441,,,Louise Field,,,AUS,23.847,125,8,6-1 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,8,200612,16,,Natalia Medvedeva,R,176,UKR,19.127,56,19,200481,,,Elna Reinach,,,RSA,22.078,90,13,3-6 6-1 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,9,200579,,,Karin Kschwendt,R,175,AUT,22.295,116,10,200578,,,Rennae Stubbs,R,178,AUS,19.768,203,3,6-4 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,10,200663,,,Nanne Dahlman,,163,FIN,20.315,175,4,200535,,,Jo Anne Faull,,,AUS,19.965,164,5,5-7 6-2 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,11,200615,,,Kristin Godridge,,,HKG,17.895,120,9,201802,,,Ulrike Priller,,,AUT,17.983,235,2,6-1 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,12,200450,,,Larisa Savchenko,,169,URS,24.447,91,13,200384,,,Eva Pfaff,R,175,GER,29.887,152,6,6-3 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,13,200629,,,Cristina Tessi,,,ARG,18.448,127,8,200542,,,Clare Wood,R,,GBR,22.815,146,7,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,14,200610,,,Stacey Martin,,,USA,20.132,109,11,200554,12,,Brenda Schultz Mccarthy,R,188,NED,20.009,43,23,6-4 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,15,200112,10,,Julie Halard Decugis,R,173,FRA,20.307,41,24,200346,,,Anne Minter,R,165,AUS,27.746,88,13,4-6 6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1991-800,Brisbane,Hard,56,T4,,19901231,16,200606,,,Nana Smith,R,163,JPN,19.727,113,11,200675,,,Eugenia Maniokova,R,178,RUS,22.623,274,2,6-2 6-1,3,R64,,,,,,,,,,,,,,,,,,,
