tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2020-800,Brisbane,Hard,32,P,,20200106,1,201548,,WC,Ajla Tomljanovic,R,180,AUS,26.667,54,1045,211880,,WC,Priscilla Hon,R,171,AUS,21.660,122,500,6-2 4-6 6-4,3,R32,138,7,4,87,42,31,25,14,4,7,6,8,105,60,36,21,14,9,14
2020-800,Brisbane,Hard,32,P,,20200106,2,201590,,,Alison Riske Amritraj,R,173,USA,29.512,19,2085,214096,,,Karolina Muchova,R,178,CZE,23.376,21,1846,6-4 6-2,3,R32,78,1,3,58,41,30,8,9,5,6,5,3,65,46,26,7,9,8,12
2020-800,Brisbane,Hard,32,P,,20200106,3,201366,,,Barbora Strycova,R,164,CZE,33.778,31,1462,202427,7,,Johanna Konta,R,180,GBR,28.641,12,2825,6-2 3-6 6-3,3,R32,133,3,2,86,59,35,14,13,9,13,2,5,79,47,30,12,13,4,10
2020-800,Brisbane,Hard,32,P,,20200106,4,211768,3,,Naomi Osaka,R,180,JPN,22.224,4,5311,206289,,,Maria Sakkari,R,172,GRE,24.452,23,1820,6-2 6-7(4) 6-3,3,R32,127,16,1,89,62,47,15,15,2,3,6,0,84,47,32,18,14,1,5
2020-800,Brisbane,Hard,32,P,,20200106,5,213550,,,Sofia Kenin,R,170,USA,21.145,14,2740,201545,,,Anastasija Sevastova,R,169,LAT,29.734,30,1518,7-6(1) 6-4,3,R32,94,1,1,72,47,33,13,11,3,5,7,1,69,41,25,16,11,3,6
2020-800,Brisbane,Hard,32,P,,20200106,6,204426,,,Anett Kontaveit,R,174,EST,24.036,26,1575,201444,,,Su Wei Hsieh,R,169,TPE,34.005,33,1450,6-4 6-1,3,R32,70,8,2,72,51,37,6,9,9,11,1,5,47,23,12,9,8,1,6
2020-800,Brisbane,Hard,32,P,,20200106,7,202428,6,,Kiki Bertens,R,182,NED,28.074,9,4245,215035,,,Dayana Yastremska,R,175,UKR,19.644,22,1825,6-4 1-6 6-3,3,R32,116,4,5,81,47,32,14,13,6,10,1,6,76,43,29,15,13,3,7
2020-800,Brisbane,Hard,32,P,,20200106,8,201619,8,,Madison Keys,R,178,USA,24.885,13,2767,213631,,Q,Marie Bouzkova,R,180,CZE,21.462,60,967,6-3 6-2,3,R32,66,4,0,44,31,25,5,8,1,2,2,2,55,40,23,5,9,3,8
2020-800,Brisbane,Hard,32,P,,20200106,9,201325,,WC,Samantha Stosur,R,172,AUS,35.771,98,683,201493,,,Angelique Kerber,L,173,GER,31.968,18,2175,7-6(5) 7-6(4),3,R32,114,5,5,95,66,48,12,12,3,6,3,4,85,54,36,16,12,4,7
2020-800,Brisbane,Hard,32,P,,20200106,10,201709,,Q,Yulia Putintseva,R,163,KAZ,24.997,32,1460,202499,,,Donna Vekic,R,179,CRO,23.524,20,2080,6-3 3-6 7-5,3,R32,151,2,0,100,71,42,17,15,6,10,1,5,92,68,46,6,15,2,7
